Run,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,BioSampleModel,tissue,dev_stage,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Cultivar,BIOMATERIAL_PROVIDER,isolate,lat_lon,Collection_Date,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,INSDC_status,sample_name,Submitter_Id,external_id,INSDC_last_update,ENA_first_public,common_name,INSDC_first_public,INSDC_center_alias,ENA_last_update,Ecotype,collected_by,AGE,replicate,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,SEQUENCING_CENTER (run),strain,HOST,isolation_source,sample_type,scientific_name,Depth,elev,management,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),altitude,environment_(biome),environment_(feature),environment_(material),investigation_type,miscellaneous_environmental_package,project_name,Sequencing_method,biotic_relationship,ENA-LAST-UPDATE,estimated_size,num_replicons,variety,ENA-FIRST-PUBLIC,subspecies,genotype,ref_biomaterial,env_biome,Specimen_voucher,env_feature,env_material,ploidy,propagation,sub_species,collectorNo,culture-collection,host_tissue_sampled,library_preparation_date (exp),plant_developmental_stage,plant_growth_medium,plant_structure,chem_administration,culture_collection,ENA-STATUS-ID (exp),ENA-STATUS-ID (run),identified_by,lab_host,passage_history,serotype,Serovar,sex,type-material,collection_method,growth_med,host_description,Host_disease,Other_strain_designation,pathotype,plant_body_site,provider,samp_collect_device,samp_mat_process,source_material_id,specific_host,specimen_category,subgroup,subtype,Temp,trophic_level,uFORGE_Sample_ID,alias,bio_material,geographic_location_(altitude),geographical_origin,height_or_length,isolation_and_growth_condition,lat_lEn,mating_type,organism_common_name,population,samp_size,treatment
SRR17316330,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492952,Illumina HiSeq 2500,GISF3,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-22T00:00:00Z,Yeshitila_Coffea,SRP352183,300,11760689100,4035845117,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2021-12-22T22:50:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316331,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492951,Illumina HiSeq 2500,DASF2,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-23T00:00:00Z,Yeshitila_Coffea,SRP352183,300,10725357900,3476053073,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2021-12-23T00:15:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316332,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492950,Illumina HiSeq 2500,ANSF5,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-23T00:00:00Z,Yeshitila_Coffea,SRP352183,300,11696453700,4049452066,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2021-12-22T23:31:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316333,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492949,Illumina HiSeq 2500,WEG2,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-23T00:00:00Z,Yeshitila_Coffea,SRP352183,300,10245384300,3563531459,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2021-12-23T00:09:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316334,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492948,Illumina HiSeq 2500,BEG1,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-22T00:00:00Z,Yeshitila_Coffea,SRP352183,300,11316824400,3914977626,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2021-12-22T22:51:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316335,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492947,Illumina HiSeq 2500,GSSF5,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-22T00:00:00Z,Yeshitila_Coffea,SRP352183,300,11579268300,3992522486,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2021-12-22T22:52:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316336,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492946,Illumina HiSeq 2500,MHF3,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-22T00:00:00Z,Yeshitila_Coffea,SRP352183,300,11014179900,3794886589,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2021-12-22T22:56:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316337,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492945,Illumina HiSeq 2500,YAF5,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-22T00:00:00Z,Yeshitila_Coffea,SRP352183,300,13036020000,4515355930,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2021-12-22T22:56:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316338,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492944,Illumina HiSeq 2500,MHF4,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-23T00:00:00Z,Yeshitila_Coffea,SRP352183,300,11740082700,4039299790,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2021-12-22T23:26:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316339,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492943,Illumina HiSeq 2500,GESF4,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-23T00:00:00Z,Yeshitila_Coffea,SRP352183,300,11943516600,3911808214,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2021-12-22T23:51:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR17316340,WGS,PRJNA790687,SAMN24220580,WUHAN BOTANICAL GARDEN,public,SRX13492942,Illumina HiSeq 2500,MHSF4,PAIRED,PCR,GENOMIC,Coffea arabica,ILLUMINA,2021-12-23T00:00:00Z,Yeshitila_Coffea,SRP352183,300,11017712100,3840605333,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2021-12-22T23:41:00Z,1,Plant,"Jimma zone\, Goma district\, Southwest Ethiopia",missing,uncalculated,uncalculated,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
