Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1765873,2015-02-12 00:00:00,2015-02-10 09:27:58,37218734,7518184268,37218734,202,4592,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765873/SRR1765873.sralite.1,SRX847406,Cp204,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS822880,SAMN03274559,simple,3649,Carica papaya,Cp204,,,,,male,,no,,,,,UIUC,SRA222207,,public,F0371C0A1371B862C26FFFE07C189C1E,E8A0D07FFFF29A30BA4BB2F61C39E489
SRR1822118,2015-02-27 20:36:11,2015-02-27 20:18:58,37218734,7518184268,37218734,202,3892,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822118/SRR1822118.sralite.1,SRX847406,Cp204,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS822880,SAMN03274559,simple,3649,Carica papaya,Cp204,,,,,male,,no,,,,,UIUC,SRA222207,,public,4983EDA06E30FBD4D27830126A4F7227,E8A0D07FFFF29A30BA4BB2F61C39E489
SRR1766380,2015-02-12 00:00:00,2015-02-10 10:52:08,15850446,3201790092,15850446,202,1794,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766380/SRR1766380.sralite.1,SRX847802,HCAR310,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823259,SAMN03274588,simple,3649,Carica papaya,HCAR310,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,02ABA8BF30449A38CF631D8286546E59,F848B3EAE788EDEA4B5EE0C45C09E181
SRR1822208,2015-03-03 11:33:17,2015-03-03 11:28:43,15850446,3201790092,15850446,202,1529,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822208/SRR1822208.sralite.1,SRX847802,HCAR310,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823259,SAMN03274588,simple,3649,Carica papaya,HCAR310,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,C6AF05B29671102731FA0FEB9EC61471,F848B3EAE788EDEA4B5EE0C45C09E181
SRR1766381,2015-02-12 00:00:00,2015-02-10 10:54:48,15531622,3137387644,15531622,202,1762,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766381/SRR1766381.sralite.1,SRX847803,HCAR314,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823260,SAMN03274589,simple,3649,Carica papaya,HCAR314,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,F1AB638E9F82B9A9A96845A97522831F,C0F0BE8156DEBEC9CBA496531715C177
SRR1822209,2015-02-28 14:28:14,2015-02-28 14:21:45,15531622,3137387644,15531622,202,1496,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822209/SRR1822209.sralite.1,SRX847803,HCAR314,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823260,SAMN03274589,simple,3649,Carica papaya,HCAR314,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,6E748CBEE056A6894B49CB5A69638F55,C0F0BE8156DEBEC9CBA496531715C177
SRR1766382,2015-02-12 00:00:00,2015-02-10 12:00:34,29987992,6057574384,29987992,202,3440,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766382/SRR1766382.sralite.1,SRX847805,HCAR321,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823262,SAMN03274590,simple,3649,Carica papaya,HCAR321,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,90FACB503E0E6D527F950BD3066BE4B3,8F238DD374B0BC2BD33AF5BD043C1ACA
SRR1822210,2015-03-03 16:30:14,2015-03-03 16:13:52,29987992,6057574384,29987992,202,2838,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822210/SRR1822210.sralite.1,SRX847805,HCAR321,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823262,SAMN03274590,simple,3649,Carica papaya,HCAR321,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,858F63CF712182805E3B250014CB3E59,8F238DD374B0BC2BD33AF5BD043C1ACA
SRR1819176,2015-02-25 18:12:15,2015-02-25 18:08:03,604136,420588095,0,696,1062,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/819/SRR1819176/SRR1819176.lite.1,SRX891026,Male assembly-454,WGS,unspecified,GENOMIC,SINGLE,0,0,LS454,454 GS FLX+,SRP051664,PRJNA271489,2,271489,SRS857416,SAMN03375437,simple,3649,Carica papaya,MSY assembly -454,,,,,,,no,,,,,UIUC,SRA222207,,public,A30228D22DA4A061A564B3DD45516879,E96F3623C1BD9220C1E852FD3E81C032
SRR1819177,2015-02-25 18:13:18,2015-02-25 18:10:37,599257,417663669,0,696,1065,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/819/SRR1819177/SRR1819177.lite.1,SRX891026,Male assembly-454,WGS,unspecified,GENOMIC,SINGLE,0,0,LS454,454 GS FLX+,SRP051664,PRJNA271489,2,271489,SRS857416,SAMN03375437,simple,3649,Carica papaya,MSY assembly -454,,,,,,,no,,,,,UIUC,SRA222207,,public,4E283F1A90C70B80D75D6EE51FF0C834,2EFF5FDEC4EDE57E3F01D812264F5461
