sample,sample_name,fastq_1,fastq_2,reference_assembly,metadata_1,metadata_2,metadata_3
10A,Catimor,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/10A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/10A.R2.fq.gz,,Catimor,C. arabica,Allotetraploid
11A,Catimor,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/11A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/11A.R2.fq.gz,,Catimor,C. arabica,Allotetraploid
12A,Catimor,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/12A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/12A.R2.fq.gz,,Catimor,C. arabica,Allotetraploid
13A,Red_Caturra,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/13A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/13A.R2.fq.gz,,Red Caturra,C. arabica,Allotetraploid
14A,Red_Caturra,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/14A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/14A.R2.fq.gz,,Red Caturra,C. arabica,Allotetraploid
15A,Red_Caturra,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/15A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/15A.R2.fq.gz,,Red Caturra,C. arabica,Allotetraploid
16A,Typica_Sumatra,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/16A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/16A.R2.fq.gz,,Typica Sumatra,C. arabica,Allotetraploid
17A,Typica_Sumatra,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/17A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/17A.R2.fq.gz,,Typica Sumatra,C. arabica,Allotetraploid
18A,Typica_Sumatra,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/18A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/18A.R2.fq.gz,,Typica Sumatra,C. arabica,Allotetraploid
19A,San_Ramon,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/19A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/19A.R2.fq.gz,,San Ramon,C. arabica,Allotetraploid
1A,Robusta_sin_23,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/1A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/1A.R2.fq.gz,,Robusta sin 23,C. robusta,Diploid
20A,San_Ramon,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/20A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/20A.R2.fq.gz,,San Ramon,C. arabica,Allotetraploid
21A,San_Ramon,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/21A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/21A.R2.fq.gz,,San Ramon,C. arabica,Allotetraploid
