filename	size
Alicia.E200014718.R1.fq.gz	9666848914
Alicia.E200014718.R2.fq.gz	9019696798
C1-6.4.1.12_Sunlight_2_Papaya_19.E200030993.R1.fq.gz	926606736
C1-6.4.1.12_Sunlight_2_Papaya_19.E200030993.R2.fq.gz	851960576
C1-6.4.1.12_Sunlight_2_Papaya_19.E250049031.R1.fq.gz	2611131954
C1-6.4.1.12_Sunlight_2_Papaya_19.E250049031.R2.fq.gz	2335314707
C1-6-4.1.49_Papaya_24.E200030993.R1.fq.gz	753361078
C1-6-4.1.49_Papaya_24.E200030993.R2.fq.gz	703683780
C1-6-4.1.49_Papaya_24.E250049031.R1.fq.gz	2589061747
C1-6-4.1.49_Papaya_24.E250049031.R2.fq.gz	2354898719
C3-15_Papaya_29.E200030993.R1.fq.gz	1202899985
C3-15_Papaya_29.E200030993.R2.fq.gz	1078525443
C3-15_Papaya_29.E250049031.R1.fq.gz	5201332393
C3-15_Papaya_29.E250049031.R2.fq.gz	4609965437
DES13.E200014718.R1.fq.gz	5680526302
DES13.E200014718.R2.fq.gz	5055626650
DES14.E200014718.R1.fq.gz	7647993655
DES14.E200014718.R2.fq.gz	7085814271
DES5.E200014718.R1.fq.gz	7585989911
DES5.E200014718.R2.fq.gz	7061309338
Eksotika_PAPHI_88.E200030993.R1.fq.gz	766617
Eksotika_PAPHI_88.E200030993.R2.fq.gz	676174
Eksotika_PAPHI_88.E250049031.R1.fq.gz	104786
Eksotika_PAPHI_88.E250049031.R2.fq.gz	95370
Holland_6_PAPHI_87.E200030993.R1.fq.gz	254215186
Holland_6_PAPHI_87.E200030993.R2.fq.gz	235033267
Holland_6_PAPHI_87.E250049031.R1.fq.gz	57620
Holland_6_PAPHI_87.E250049031.R2.fq.gz	54037
HP.E200014718.R1.fq.gz	7888107337
HP.E200014718.R2.fq.gz	7727375972
Hybrid_8_PAPHI_95.E200030993.R1.fq.gz	1496790043
Hybrid_8_PAPHI_95.E200030993.R2.fq.gz	1344705761
Hybrid_8_PAPHI_95.E250049031.R1.fq.gz	7037080728
Hybrid_8_PAPHI_95.E250049031.R2.fq.gz	6161962759
Intenzza.E200014718.R1.fq.gz	8104945232
Intenzza.E200014718.R2.fq.gz	7706473763
MS800.E200014718.R1.fq.gz	6949121538
MS800.E200014718.R2.fq.gz	6270298094
PAPHI33.E250013590.R1.fq.gz	2896083512
PAPHI33.E250013590.R2.fq.gz	2755472918
PAPHI34.E250013590.R1.fq.gz	3185836806
PAPHI34.E250013590.R2.fq.gz	3107182468
PAPHI35.E250013590.R1.fq.gz	2729166361
PAPHI35.E250013590.R2.fq.gz	2759524322
PAPHI36.E250013590.R1.fq.gz	1819485618
PAPHI36.E250013590.R2.fq.gz	1751560042
PAPHI37.E250013590.R1.fq.gz	2384614435
PAPHI37.E250013590.R2.fq.gz	2299169055
PAPHI38.E250013590.R1.fq.gz	2517188651
PAPHI38.E250013590.R2.fq.gz	2368382076
PAPHI39.E250013590.R1.fq.gz	2732350503
PAPHI39.E250013590.R2.fq.gz	2681122447
PAPHI40.E250013590.R1.fq.gz	2435423778
PAPHI40.E250013590.R2.fq.gz	2343880210
PAPHI41.E250013590.R1.fq.gz	3017395365
PAPHI41.E250013590.R2.fq.gz	2912724742
PAPHI42.E250013590.R1.fq.gz	2594009620
PAPHI42.E250013590.R2.fq.gz	2493710988
PAPHI43.E250013590.R1.fq.gz	1918779858
PAPHI43.E250013590.R2.fq.gz	1832475317
PAPHI44.E250013590.R1.fq.gz	2801009032
PAPHI44.E250013590.R2.fq.gz	2745355211
PAPHI45.E250013590.R1.fq.gz	2279952486
PAPHI45.E250013590.R2.fq.gz	2299929386
PAPHI46.E250013590.R1.fq.gz	2544747463
PAPHI46.E250013590.R2.fq.gz	2444166005
PAPHI47.E250013590.R1.fq.gz	2696411280
PAPHI47.E250013590.R2.fq.gz	2692118971
PAPHI48.E250013590.R1.fq.gz	2829559421
PAPHI48.E250013590.R2.fq.gz	2762537848
PAPHI49.E250013590.R1.fq.gz	3016931253
PAPHI49.E250013590.R2.fq.gz	2897525388
PAPHI50.E250013590.R1.fq.gz	2210910299
PAPHI50.E250013590.R2.fq.gz	2083907008
PAPHI52.E250013590.R1.fq.gz	2187966713
PAPHI52.E250013590.R2.fq.gz	2102932748
PAPHI54.E250013590.R1.fq.gz	2212106819
PAPHI54.E250013590.R2.fq.gz	2136319582
PAPHI55.E250013590.R1.fq.gz	1824436193
PAPHI55.E250013590.R2.fq.gz	1882980635
PAPHI57.E250013590.R1.fq.gz	2091026131
PAPHI57.E250013590.R2.fq.gz	2052188516
PAPHI58.E250013590.R1.fq.gz	2080710512
PAPHI58.E250013590.R2.fq.gz	2027588142
PAPHI59.E250013590.R1.fq.gz	2607746459
PAPHI59.E250013590.R2.fq.gz	2501384189
PAPHI60.E250013590.R1.fq.gz	2720201416
PAPHI60.E250013590.R2.fq.gz	2630320967
PAPHI62.E250013590.R1.fq.gz	2648259678
PAPHI62.E250013590.R2.fq.gz	2543368588
PAPHI63.E250013590.R1.fq.gz	4854107719
PAPHI63.E250013590.R2.fq.gz	4796233998
PAPHI64.E250013590.R1.fq.gz	2507187653
PAPHI64.E250013590.R2.fq.gz	2408776423
PAPHI65.E250013590.R1.fq.gz	2962588221
PAPHI65.E250013590.R2.fq.gz	2889706527
PAPHI66.E250013590.R1.fq.gz	1833362116
PAPHI66.E250013590.R2.fq.gz	1771441246
PAPHI67.E250013590.R1.fq.gz	1808304804
PAPHI67.E250013590.R2.fq.gz	1758517446
PAPHI68.E250013590.R1.fq.gz	2251439962
PAPHI68.E250013590.R2.fq.gz	2226766078
PAPHI69.E250013590.R1.fq.gz	1753825056
PAPHI69.E250013590.R2.fq.gz	1711718107
PAPHI70.E250013590.R1.fq.gz	2252930223
PAPHI70.E250013590.R2.fq.gz	2180593701
PAPHI71.E250013590.R1.fq.gz	3753030286
PAPHI71.E250013590.R2.fq.gz	3759620221
PAPHI72.E250013590.R1.fq.gz	1230396412
PAPHI72.E250013590.R2.fq.gz	1227609485
PAPHI73.E250013590.R1.fq.gz	2346745164
PAPHI73.E250013590.R2.fq.gz	2281430020
PAPHI74.E250013590.R1.fq.gz	1956526756
PAPHI74.E250013590.R2.fq.gz	1907328242
PAPHI75.E250013590.R1.fq.gz	1289232165
PAPHI75.E250013590.R2.fq.gz	1318461905
PAPHI76.E250013590.R1.fq.gz	994942734
PAPHI76.E250013590.R2.fq.gz	978583521
PAPHI77.E250013590.R1.fq.gz	2633396756
PAPHI77.E250013590.R2.fq.gz	2588695773
PAPHI78.E250013590.R1.fq.gz	1433124712
PAPHI78.E250013590.R2.fq.gz	1474802543
PAPHI79.E250013590.R1.fq.gz	1176998827
PAPHI79.E250013590.R2.fq.gz	1168593980
PAPHI80.E250013590.R1.fq.gz	1680755021
PAPHI80.E250013590.R2.fq.gz	1647841953
PAPHI81.E250013590.R1.fq.gz	1654115933
PAPHI81.E250013590.R2.fq.gz	1621259002
PAPHI82.E250013590.R1.fq.gz	2389992086
PAPHI82.E250013590.R2.fq.gz	2336710667
PAPHI83.E250013590.R1.fq.gz	2044520861
PAPHI83.E250013590.R2.fq.gz	2046095349
PAPHI84.E250013590.R1.fq.gz	1910185279
PAPHI84.E250013590.R2.fq.gz	1856224928
PAPHI85.E250013590.R1.fq.gz	2152566409
PAPHI85.E250013590.R2.fq.gz	2183796566
PAPHI86.E250013590.R1.fq.gz	2369383511
PAPHI86.E250013590.R2.fq.gz	2262571811
PAPHI89.E250013590.R1.fq.gz	2601432928
PAPHI89.E250013590.R2.fq.gz	2586318205
PAPHI90.E250013590.R1.fq.gz	2289392357
PAPHI90.E250013590.R2.fq.gz	2181487037
PAPHI91.E250013590.R1.fq.gz	4236120997
PAPHI91.E250013590.R2.fq.gz	3980799081
PAPHI92.E250013590.R1.fq.gz	3422673983
PAPHI92.E250013590.R2.fq.gz	3290978944
PAPHI93.E250013590.R1.fq.gz	2918304884
PAPHI93.E250013590.R2.fq.gz	2827266547
PAPHI94.E250013590.R1.fq.gz	2342837460
PAPHI94.E250013590.R2.fq.gz	2222916391
Passion_Red.E200014718.R1.fq.gz	11692241180
Passion_Red.E200014718.R2.fq.gz	10911704484
S12.E200014718.R1.fq.gz	7240034215
S12.E200014718.R2.fq.gz	6410520606
S14.E200014718.R1.fq.gz	5434243169
S14.E200014718.R2.fq.gz	4890397227
Sweet_Sense.E200014718.R1.fq.gz	7541999515
Sweet_Sense.E200014718.R2.fq.gz	6972710873
Tainung_2_Papaya_21.E200030993.R1.fq.gz	1492375510
Tainung_2_Papaya_21.E200030993.R2.fq.gz	1365390289
Tainung_2_Papaya_21.E250049031.R1.fq.gz	7414283285
Tainung_2_Papaya_21.E250049031.R2.fq.gz	6696227230
XD22.E200014718.R1.fq.gz	4291360045
XD22.E200014718.R2.fq.gz	3787295273
XD6.E200014718.R1.fq.gz	9108519731
XD6.E200014718.R2.fq.gz	8138050893
Y17.E200014718.R1.fq.gz	23479860593
Y17.E200014718.R2.fq.gz	21360068547
