"name","total_size_mb","sra_accession","collection_site","breeding_status","breeding_system","cultivar_name","sex"
"Cp171",3053.98,"SRX10903534","Costa Rica","Wild","Dioecious","N/A","M"
"ZhonghuangXX",5647.56,"SRX10903533","China","Breeding line","Dioecious","Zhonghuang","F"
"ZhonghuangXY",5894.75,"SRX10903532","China","Breeding line","Dioecious","Zhonghuang","M"
"ZhongbaiXX",4918.67,"SRX10903531","China","Cultivar","Gynodioecious","Zhongbai","F"
"ZhongbaiXYh",6354.68,"SRX10903530","China","Cultivar","Gynodioecious","Zhongbai","H"
"ZhongZhi2",5764.5,"SRX10903529","China","Cultivar","Gynodioecious","ZhongZhi2","H"
"ZhongZhi1",5263.41,"SRX10903528","China","Cultivar","Gynodioecious","ZhongZhi1","H"
"Cp128",6147.72,"SRX10903527","Costa Rica","Wild","Dioecious","N/A","M"
"You5",5957.4,"SRX10903526","China","Cultivar","Gynodioecious","You5","H"
"YiChiZi",5742.63,"SRX10903525","China","Cultivar","Gynodioecious","YiChiZi","H"
"YiChiBai",7484.4,"SRX10903524","China","Cultivar","Gynodioecious","YiChiBai","H"
"XiaWeiYi",5783.78,"SRX10903523","China","Cultivar","Gynodioecious","XiaWeiYi","H"
"UH928",5418.12,"SRX10903522","Hawaii","Breeding line","Gynodioecious","UH928","H"
"TaiNong2",2450.05,"SRX10903521","China","Cultivar","Gynodioecious","TaiNong2","H"
"THP",6173.2,"SRX10903520","Costa Rica","Breeding line","Gynodioecious","THP","H"
"THA1",5955.08,"SRX10903519","Thailand","Cultivar","Gynodioecious","THA1","H"
"SunUpXX",4776.9,"SRX10903518","Hawaii","Cultivar","Gynodioecious","SunUp","F"
"SunsetXX",4712.49,"SRX10903517","Hawaii","Cultivar","Gynodioecious","Sunset","F"
"Cp125",4951.1,"SRX10903516","Costa Rica","Wild","Dioecious","N/A","M"
"SunriseCU2H1XX",5296.92,"SRX10903515","Hawaii","Cultivar","Gynodioecious","Sunrise","F"
"SuiZhongHong48",7582.55,"SRX10903514","China","Cultivar","Gynodioecious","SuiZhongHong48","H"
"St",964.49,"SRX10903513","Brazil","Cultivar","Gynodioecious","St","H"
"RedRoyalXX",2476.49,"SRX10903512","Philippines","Cultivar","Gynodioecious","Red Royal","F"
"RedRoyalXYh",6089.37,"SRX10903511","Philippines","Cultivar","Gynodioecious","Red Royal","H"
"Rd3",5450.95,"SRX10903510","Costa Rica","Breeding line","Gynodioecious","Rd3","H"
"RMHR-1-6-7",1034.51,"SRX10903509","Costa Rica","Breeding line","Gynodioecious","RMHR-1-6-7","H"
"QingPiRiSheng",5995.98,"SRX10903508","China","Cultivar","Gynodioecious","QingPiRiSheng","H"
"Paw",4997.58,"SRX10903507","China","Cultivar","Gynodioecious","Paw","H"
"MeiZhongHong",2232.46,"SRX10903506","China","Cultivar","Gynodioecious","MeiZhongHong","H"
"Cp11",5779.24,"SRX10903505","Costa Rica","Wild","Dioecious","N/A","M"
"MH1-12",5626.2,"SRX10903504","Costa Rica","Breeding line","Gynodioecious","MH 1-12","H"
"LM13",1151.2,"SRX10903503","Costa Rica","Breeding line","Gynodioecious","LM 13","H"
"L1",1009.02,"SRX10903502","Costa Rica","Breeding line","Gynodioecious","L1","H"
"KhanKaen",6795.21,"SRX10903501","Thailand","Cultivar","Gynodioecious","Khan Kaen","H"
"KapohoCW10H2XX",5443.1,"SRX10903500","Hawaii","Cultivar","Gynodioecious","Kapoho","F"
"Kamiya",4721.81,"SRX10903499","Hawaii","Cultivar","Gynodioecious","Kamiya","F"
"KaekDahm",8065.01,"SRX10903498","Thailand","Cultivar","Gynodioecious","Kaek Dahm","H"
"HuaKang",7138.84,"SRX10903497","China","Cultivar","Gynodioecious","HuaKang","H"
"HongRi5",3354.95,"SRX10903496","China","Cultivar","Gynodioecious","HongRi5","H"
"HongRi3",8659.07,"SRX10903495","China","Cultivar","Gynodioecious","HongRi3","H"
"Cp112",6708.28,"SRX10903494","Costa Rica","Wild","Dioecious","N/A","M"
"HongRi2",7726.68,"SRX10903493","China","Cultivar","Gynodioecious","HongRi2","H"
"HongRi1",6528.06,"SRX10903492","China","Cultivar","Gynodioecious","HongRi1","H"
"HongLing",5325.54,"SRX10903491","China","Cultivar","Gynodioecious","HongLing","H"
"HongLing2",6928.13,"SRX10903490","China","Cultivar","Gynodioecious","HongLing2","H"
"HongFei",6679.88,"SRX10903489","China","Cultivar","Gynodioecious","HongFei","H"
"Heirloom",7486.5,"SRX10903488","Brazil","Cultivar","Gynodioecious","Heirloom","H"
"HCAR321",3382.46,"SRX10903487","Hawaii","Breeding line","Gynodioecious","no7 323","H"
"HCAR314",1730.92,"SRX10903486","Hawaii","Breeding line","Gynodioecious","‘KSGS’","H"
"HCAR310",1762.32,"SRX10903485","Hawaii","Cultivar","Gynodioecious","Waimanalo","H"
"HCAR309",1563.97,"SRX10903484","Thailand","Cultivar","Gynodioecious","Khak Dum","H"
"CR6-16XX",3686.63,"SRX10903483","Costa Rica","Cultivar","Gynodioecious","CR6-16","F"
"HCAR302",1879.39,"SRX10903482","Hawaii","Breeding line","Gynodioecious","Line 8","H"
"HCAR27",6225.6,"SRX10903481","Hawaii","Cultivar","Gynodioecious","Kapoho","H"
"Cp173",3836.73,"SRX10903480","Costa Rica","Wild","Dioecious","N/A","M"
"Cp172",2735.9,"SRX10903479","Costa Rica","Wild","Dioecious","N/A","M"
"AU9",5136.77,"SRX10903478","Israel","Breeding line","Dioecious","AU9","F"
"70",2546.36,"SRX10903477","Costa Rica","Breeding line","Gynodioecious","70","H"
"HCAR217",2050.82,"SRX10903476","Puerto Rico","Cultivar","Gynodioecious","Puerto Rico 6-65","H"
"HCAR20",3625.87,"SRX10903475","Thailand","Cultivar","Gynodioecious","Khag Naun","H"
"HCAR207",2095.37,"SRX10903474","Taiwan","Cultivar","Gynodioecious","Tainung No. 5","H"
"HCAR196",3501.86,"SRX10903473","Hawaii","Cultivar","Gynodioecious","Higgins","H"
"HCAR17",6099.12,"SRX10903472","Micronesia","Cultivar","Gynodioecious","Saipan Red","H"
"HCAR16",3979.25,"SRX10903471","Malaysia","Breeding line","Gynodioecious","HAES 7836","H"
"GuoGu",5607.27,"SRX10903470","China","Cultivar","Gynodioecious","GuoGu","H"
"GuangMi",7097.44,"SRX10903469","China","Cultivar","Gynodioecious","GuangMi","H"
"CR6-16XYh",4670.33,"SRX10903468","Costa Rica","Cultivar","Gynodioecious","CR6-16","H"
"GuangHuang1",6495.78,"SRX10903467","China","Cultivar","Gynodioecious","GuangHuang1","H"
"Golden",5523.87,"SRX10903466","China","Cultivar","Gynodioecious","Golden","H"
"Cp96",5844.91,"SRX10903465","Costa Rica","Wild","Dioecious","N/A","M"
"Cp82",5080.14,"SRX10903464","Costa Rica","Wild","Dioecious","N/A","M"
"Cp66",5081.61,"SRX10903463","Costa Rica","Wild","Dioecious","N/A","M"
"Cp57",5198.42,"SRX10903462","Costa Rica","Wild","Dioecious","N/A","M"
"Cp54",2304.46,"SRX10903461","Costa Rica","Wild","Dioecious","N/A","M"
"Cp50",3431.35,"SRX10903460","Costa Rica","Wild","Dioecious","N/A","M"
"Cp44",3877.47,"SRX10903459","Costa Rica","Wild","Dioecious","N/A","M"
"Cp245",1964.39,"SRX10903458","Costa Rica","Wild","Dioecious","N/A","M"
"BaiPiRiSheng",6824.51,"SRX10903457","China","Cultivar","Gynodioecious","BaiPiRiSheng","H"
"Cp242",5420.97,"SRX10903456","Costa Rica","Wild","Dioecious","N/A","M"
"Cp227",2897,"SRX10903455","Costa Rica","Wild","Dioecious","N/A","M"
"Cp222",2551.73,"SRX10903454","Costa Rica","Wild","Dioecious","N/A","M"
"Cp221",3658.58,"SRX10903453","Costa Rica","Wild","Dioecious","N/A","M"
